experiment_version,silver_size,sample_seed,train_seed,use_class_weights,dry_run,macro_f1,cohen_kappa,class_collapse,metrics_file,agree_f1,agree_prediction_count,disagree_f1,disagree_prediction_count,question_f1,question_prediction_count,statement_f1,statement_prediction_count
v2_group_split,2500,42,42,True,False,0.5566769689689024,0.3854138213602841,False,silver_2500_sample42_train42_weights1_metrics.json,0.5714285714285714,41,0.5785123966942148,97,0.7387387387387387,67,0.3380281690140845,95
v2_group_split,2500,42,123,True,False,0.591020558384622,0.4314969053258959,False,silver_2500_sample42_train123_weights1_metrics.json,0.6055045871559633,45,0.6097560975609756,101,0.7636363636363637,66,0.3851851851851852,88
v2_group_split,2500,42,2026,True,False,0.4814844877344877,0.34291457889525634,False,silver_2500_sample42_train2026_weights1_metrics.json,0.19444444444444445,8,0.6,95,0.7678571428571429,68,0.36363636363636365,129
v2_group_split,5000,123,42,True,False,0.48265633211869774,0.2960047527105303,False,silver_5000_sample123_train42_weights1_metrics.json,0.32098765432098764,17,0.5194805194805194,86,0.7311827956989247,49,0.358974358974359,148
v2_group_split,5000,123,123,True,False,0.5329397853374569,0.34333675502687033,False,silver_5000_sample123_train123_weights1_metrics.json,0.56,36,0.5439330543933054,94,0.68,56,0.34782608695652173,114
v2_group_split,5000,123,2026,True,False,0.5972427497314715,0.419889502762431,False,silver_5000_sample123_train2026_weights1_metrics.json,0.58,36,0.592,105,0.7959183673469388,54,0.42105263157894735,105
v2_group_split,5000,42,42,True,False,0.5823880221497085,0.40867877611668735,False,silver_5000_sample42_train42_weights1_metrics.json,0.5742574257425742,37,0.5702479338842975,97,0.7850467289719626,63,0.4,103
v2_group_split,5000,42,123,True,False,0.5928069065478693,0.43100995732574676,False,silver_5000_sample42_train123_weights1_metrics.json,0.6037735849056604,42,0.6153846153846154,102,0.7663551401869159,63,0.38571428571428573,93
v2_group_split,5000,42,2026,True,False,0.593551846250819,0.414164827662851,False,silver_5000_sample42_train2026_weights1_metrics.json,0.6138613861386139,37,0.6176470588235294,127,0.7551020408163265,54,0.3875968992248062,82
v2_group_split,8000,123,42,True,False,0.5740409759317322,0.3970967891539259,False,silver_8000_sample123_train42_weights1_metrics.json,0.5656565656565656,35,0.6039215686274509,110,0.7346938775510204,54,0.3918918918918919,101
v2_group_split,8000,123,123,True,False,0.5551425779933966,0.3697962187773126,False,silver_8000_sample123_train123_weights1_metrics.json,0.5567010309278351,33,0.584,105,0.74,56,0.33986928104575165,106
v2_group_split,8000,123,2026,True,False,0.5518076348738369,0.36882546652030734,False,silver_8000_sample123_train2026_weights1_metrics.json,0.5510204081632653,34,0.5772357723577236,101,0.72,56,0.358974358974359,109
v2_group_split,8000,42,42,True,False,0.5751173433436996,0.39518879507662463,False,silver_8000_sample42_train42_weights1_metrics.json,0.5769230769230769,40,0.5809128630705395,96,0.7628865979381443,53,0.379746835443038,111
v2_group_split,8000,42,123,True,False,0.5653825382538253,0.3875295490129863,False,silver_8000_sample42_train123_weights1_metrics.json,0.5742574257425742,37,0.6,105,0.7272727272727273,55,0.36,103
v2_group_split,8000,42,2026,True,False,0.5841818648148058,0.41811749371566886,False,silver_8000_sample42_train2026_weights1_metrics.json,0.5686274509803921,38,0.622568093385214,112,0.72,56,0.425531914893617,94
v2_group_split,10000,42,42,True,False,0.46560115732682983,0.313800239625313,False,silver_10000_sample42_train42_weights1_metrics.json,0.25316455696202533,15,0.6387832699619772,118,0.6415094339622641,62,0.32894736842105265,105
v2_group_split,10000,42,123,True,False,0.5455188498698196,0.3577213068975147,False,silver_10000_sample42_train123_weights1_metrics.json,0.5263157894736842,31,0.5813953488372093,113,0.7010309278350515,53,0.37333333333333335,103
v2_group_split,10000,42,2026,True,False,0.5284219993743662,0.3312589978173037,False,silver_10000_sample42_train2026_weights1_metrics.json,0.5154639175257731,33,0.578125,111,0.6888888888888889,46,0.33121019108280253,110
